Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
guide,ɡaɪd,嚮導,A guide is someone who shows you where to go.,「導遊」是帶你去某地的人。,We followed a guide at the park.,我們在公園跟著導遊。,24_0470.jpg,24_0470.mp3,24_0470_meaning.mp3,24_0470_example.mp3
lack,læk,缺乏,"If there is a lack of something, there is not enough of it.",「缺乏」是指某物不足。,His only problem is a lack of money.,他唯一的問題是缺錢。,24_0471.jpg,24_0471.mp3,24_0471_meaning.mp3,24_0471_example.mp3
perform,pərˈfɔːrm,表演,To perform is to do something in front of people who watch.,「表演」是指在觀眾面前做某事。,He will perform a song for the class.,他要為全班表演一首歌。,24_0472.jpg,24_0472.mp3,24_0472_meaning.mp3,24_0472_example.mp3
pressure,ˈpreʃər,壓力,Pressure is what you apply to make someone do something.,「壓力」是促使某人做某事的力量。,They put pressure on him to change his mind.,他們施壓要他改變主意。,24_0473.jpg,24_0473.mp3,24_0473_meaning.mp3,24_0473_example.mp3
probably,ˈprɑːbəbli,很可能地,"If something will probably happen, it is likely to happen.",「很可能」是指事情有可能發生。,You will probably get a good grade if you study for the test.,如果你用功讀書，很可能會考好。,24_0474.jpg,24_0474.mp3,24_0474_meaning.mp3,24_0474_example.mp3
public,ˈpʌblɪk,公共的,"If something is public, it is meant for everyone to use.",「公共的」事物是供所有人使用的。,I went to the public park to play with my friends.,我去公園和朋友玩。,24_0475.jpg,24_0475.mp3,24_0475_meaning.mp3,24_0475_example.mp3
smart,smɑːrt,聰明的,Smart means intelligent.,「聰明的」是指有智慧的。,Mary is a smart student.,瑪麗是個聰明的學生。,24_0476.jpg,24_0476.mp3,24_0476_meaning.mp3,24_0476_example.mp3
strike,straɪk,打擊,To strike people or things is to hit them.,「打擊」是指擊打人或物。,She struck the other girl in the face.,她打了另一個女孩的臉。,24_0477.jpg,24_0477.mp3,24_0477_meaning.mp3,24_0477_example.mp3
support,səˈpɔːrt,支持,To support something is to like it and help it be successful.,「支持」是指喜歡某事並幫助其成功。,Everyone at work supports the new plan.,所有同事都支持新計畫。,24_0478.jpg,24_0478.mp3,24_0478_meaning.mp3,24_0478_example.mp3
term,tɜːrm,術語,A term is a word for something.,「術語」是某事物的專有名詞。,I often use the term “oops” when I make a mistake.,我犯錯時常說「哎呀」。,24_0479.jpg,24_0479.mp3,24_0479_meaning.mp3,24_0479_example.mp3
unite,juˈnaɪt,團結,To unite is to get together to do something.,「團結」是指聚集在一起做某事。,"If we unite, we can finish our project faster.",如果我們團結，就能更快完成專案。,24_0480.jpg,24_0480.mp3,24_0480_meaning.mp3,24_0480_example.mp3
associate,əˈsəʊʃieɪt,聯想,To associate means to connect something with a person or thing.,「聯想」是指將某事與人或物連結。,Most people associate birthday parties with having fun.,大多數人把生日派對和玩樂聯想在一起。,25_0481.jpg,25_0481.mp3,25_0481_meaning.mp3,25_0481_example.mp3
environment,ɪnˈvaɪrənmənt,環境,The environment is the place where people work or live.,「環境」是人們工作或生活的地方。,Keeping our environment clean is important to our health.,保持環境清潔對健康很重要。,25_0482.jpg,25_0482.mp3,25_0482_meaning.mp3,25_0482_example.mp3
factory,ˈfæktəri,工廠,A factory is a building where things are made or put together.,「工廠」是製造或組裝物品的建築物。,We have only one factory in our town.,我們鎮上只有一家工廠。,25_0483.jpg,25_0483.mp3,25_0483_meaning.mp3,25_0483_example.mp3
feature,ˈfiːtʃər,特色,A feature is an important part of something.,「特色」是某物的重要部分。,The cell phone has many features.,這支手機有很多功能。,25_0484.jpg,25_0484.mp3,25_0484_meaning.mp3,25_0484_example.mp3
instance,ˈɪnstəns,例子,An instance is an example of something.,「例子」是某事的實例。,I have never experienced an instance of hate. Have you?,我從未經歷過仇恨事件，你有嗎？,25_0485.jpg,25_0485.mp3,25_0485_meaning.mp3,25_0485_example.mp3
involve,ɪnˈvɑːlv,涉及,To involve means to include as an active participant.,「涉及」是指包含為積極參與者。,The whole family was involved in playing the game.,全家人都參與了遊戲。,25_0486.jpg,25_0486.mp3,25_0486_meaning.mp3,25_0486_example.mp3
medicine,ˈmedɪsn,藥物,Medicine is something you take to feel better or treat an illness.,「藥物」是用來改善感覺或治療疾病的東西。,The doctor gave me medicine for my cold.,醫生給我感冒藥。,25_0487.jpg,25_0487.mp3,25_0487_meaning.mp3,25_0487_example.mp3
mix,mɪks,混合,A mix is different things put together.,「混合物」是不同東西的組合。,The green mix we made in science class spilled onto the table.,自然課做的綠色混合物灑到桌上。,25_0488.jpg,25_0488.mp3,25_0488_meaning.mp3,25_0488_example.mp3
organize,ˈɔːrɡənaɪz,組織,To organize is to plan or get ready for an event.,「組織」是指規劃或為活動做準備。,Make a list to help you organize the things you need.,列清單幫助你整理所需物品。,25_0489.jpg,25_0489.mp3,25_0489_meaning.mp3,25_0489_example.mp3
period,ˈpɪriəd,時期,A period is an amount of time when something happens.,「時期」是某事發生的一段時間。,"In one period in Europe, there were many knights.",歐洲某個時期有很多騎士。,25_0490.jpg,25_0490.mp3,25_0490_meaning.mp3,25_0490_example.mp3
populate,ˈpɑːpjuleɪt,居住,"If people populate an area, they live there.",「居住」是指人們住在某區域。,Billions of people populate the Earth.,數十億人居住在地球上。,25_0491.jpg,25_0491.mp3,25_0491_meaning.mp3,25_0491_example.mp3
produce,prəˈduːs,生產,To produce something is to make or grow it.,「生產」是指製造或種植某物。,This tree produces apples every year.,這棵樹每年結蘋果。,25_0492.jpg,25_0492.mp3,25_0492_meaning.mp3,25_0492_example.mp3
range,reɪndʒ,範圍,A range is a number or a set of similar things.,「範圍」是一組數字或類似事物。,I saw a range of cars to choose from.,我看到一系列可選擇的車款。,25_0493.jpg,25_0493.mp3,25_0493_meaning.mp3,25_0493_example.mp3
recognize,ˈrekəɡnaɪz,認出,To recognize something is to know it because you have seen it before.,「認出」是指因先前見過而知道某物。,I recognized an old friend from many years ago.,我認出一位多年不見的老朋友。,25_0494.jpg,25_0494.mp3,25_0494_meaning.mp3,25_0494_example.mp3
regular,ˈreɡjələr,規律的,"If something is regular, it happens often and in equal amounts of time.",「規律的」事物經常發生且時間間隔相等。,Our regular lunch time is around noon.,我們固定午餐時間是中午左右。,25_0495.jpg,25_0495.mp3,25_0495_meaning.mp3,25_0495_example.mp3
sign,saɪn,標誌,"A sign is an indication giving information, directions, a warning, etc.",「標誌」是提供資訊、指示、警告等的標示。,The sign indicated that today would be a bad day.,標誌顯示今天會是糟糕的一天。,25_0496.jpg,25_0496.mp3,25_0496_meaning.mp3,25_0496_example.mp3
tip,tɪp,尖端,A tip is a pointed end of something.,「尖端」是某物的尖銳末端。,The tip of his pen was very sharp.,他筆尖很尖。,25_0497.jpg,25_0497.mp3,25_0497_meaning.mp3,25_0497_example.mp3
tradition,trəˈdɪʃn,傳統,A tradition is something people have been doing for a long time.,「傳統」是人們長期以來的做法。,Marriage is a tradition all over the world.,婚姻是全世界的傳統。,25_0498.jpg,25_0498.mp3,25_0498_meaning.mp3,25_0498_example.mp3
trash,træʃ,垃圾,Trash is waste material or unwanted or worthless things.,「垃圾」是廢棄物或不需要、無價值的東西。,Please take out the trash; it smells bad.,請把垃圾拿出去，聞起來很臭。,25_0499.jpg,25_0499.mp3,25_0499_meaning.mp3,25_0499_example.mp3
wide,waɪd,寬的,"If something is wide, it is large from side to side.",「寬的」事物左右距離大。,The door was as wide as my arms.,門和我張開的手臂一樣寬。,25_0500.jpg,25_0500.mp3,25_0500_meaning.mp3,25_0500_example.mp3
advice,ədˈvaɪs,建議,Advice is an opinion about what to do.,「建議」是關於該做什麼的意見。,I don’t know how to study for my exams. Can you give me some advice?,我不知道怎麼準備考試，你能給我一些建議嗎？,26_0501.jpg,26_0501.mp3,26_0501_meaning.mp3,26_0501_example.mp3
along,əˈlɔːŋ,沿著,"Along means down the length of a road, river, etc.",「沿著」是指順著道路、河流等的長度方向。,"Walk along this tunnel for ten minutes, and you’ll see a door on the left.",沿這條隧道走十分鐘，左邊會看到一扇門。,26_0502.jpg,26_0502.mp3,26_0502_meaning.mp3,26_0502_example.mp3
attention,əˈtenʃn,注意力,"Attention is the notice, thought, or consideration of someone.",「注意力」是對某人的注意、思考或關注。,His work got the attention of two of his co-workers.,他的工作引起兩位同事注意。,26_0503.jpg,26_0503.mp3,26_0503_meaning.mp3,26_0503_example.mp3
attract,əˈtrækt,吸引,To attract means to make a person or thing come closer or be interested.,「吸引」是指使人或物靠近或產生興趣。,The magnet attracted the metal.,磁鐵吸住了金屬。,26_0504.jpg,26_0504.mp3,26_0504_meaning.mp3,26_0504_example.mp3
climb,klaɪm,爬,To climb means to use your hands and feet to go up something.,「攀爬」是指用手腳登上某物。,The girls climbed to the top of the mountain.,女孩們爬上山頂。,26_0505.jpg,26_0505.mp3,26_0505_meaning.mp3,26_0505_example.mp3
drop,drɑːp,掉落,To drop is to fall or allow something to fall.,「掉落」是指落下或讓某物落下。,A small amount of water dropped from the bottle.,少量水從瓶子滴下。,26_0506.jpg,26_0506.mp3,26_0506_meaning.mp3,26_0506_example.mp3
final,ˈfaɪnl,最終的,"If something is final, it is the last part.",「最終的」是指最後的部分。,"In the final part of the film, the man and the woman got married.",電影最後一幕，男女主角結婚了。,26_0507.jpg,26_0507.mp3,26_0507_meaning.mp3,26_0507_example.mp3
further,ˈfɜːrðər,更遠的,Further means at or from a greater distance or time.,「更遠的」是指距離或時間更長。,The escalator is further than I thought.,電扶梯比我以為的更遠。,26_0508.jpg,26_0508.mp3,26_0508_meaning.mp3,26_0508_example.mp3
imply,ɪmˈplaɪ,暗示,To imply something is to suggest it without saying it.,「暗示」是指不直接說出而表示某事。,"The man implied that he wanted the job, but he didn’t say so.",他暗示想要這份工作，但沒明說。,26_0509.jpg,26_0509.mp3,26_0509_meaning.mp3,26_0509_example.mp3
maintain,meɪnˈteɪn,維持,To maintain means to make something stay the same.,「維持」是指使某物保持不變。,The balls maintain constant movement.,球持續不斷地移動。,26_0510.jpg,26_0510.mp3,26_0510_meaning.mp3,26_0510_example.mp3
neither,ˈniːðə(r),兩者都不,You use neither to connect two negative possibilities.,「兩者都不」是用來連接兩個否定可能性。,Neither the path on the left nor the path on the right will lead us home.,左邊和右邊的路都不會帶我們回家。,26_0511.jpg,26_0511.mp3,26_0511_meaning.mp3,26_0511_example.mp3
otherwise,ˈʌðərwaɪz,否則,Otherwise means in another way if you don’t do this.,「否則」是指如果不這樣做，就用另一種方式。,"It’s good to stay active; otherwise, you’ll gain weight.",保持活動很好，否則會變胖。,26_0512.jpg,26_0512.mp3,26_0512_meaning.mp3,26_0512_example.mp3
physical,ˈfɪzɪkl,身體的,"If something is physical, it is related to your body and not your mind.",「身體的」事物與身體有關，而非心智。,Biking is good for your physical health.,騎腳踏車有益身體健康。,26_0513.jpg,26_0513.mp3,26_0513_meaning.mp3,26_0513_example.mp3
prove,pruːv,證明,To prove something is to show that it is true.,「證明」是指顯示某事為真。,My teacher proved the answer on the board.,老師在黑板上證明了答案。,26_0514.jpg,26_0514.mp3,26_0514_meaning.mp3,26_0514_example.mp3
react,riˈækt,反應,To react is to respond by acting in a certain way.,「反應」是指以特定方式回應。,James reacted badly to the news.,詹姆斯對這消息反應很差。,26_0515.jpg,26_0515.mp3,26_0515_meaning.mp3,26_0515_example.mp3
ride,raɪd,騎乘,"To ride something is to travel on it. You can ride an animal, a bike, etc.",「騎乘」是指乘坐動物、自行車等移動。,I will ride a roller coaster for the first time today.,我今天第一次坐雲霄飛車。,26_0516.jpg,26_0516.mp3,26_0516_meaning.mp3,26_0516_example.mp3
situated,ˈsɪtʃueɪtɪd,位於,"If something is situated somewhere, it is in that place.",「位於」是指某物在某地。,The whiteboard is situated between the two men.,白板位於兩個男人之間。,26_0517.jpg,26_0517.mp3,26_0517_meaning.mp3,26_0517_example.mp3
society,səˈsaɪəti,社會,Society is a group of people who interact and share a culture.,「社會」是互動並共享文化的群體。,Society expects people to be good and honest.,社會期望人們善良誠實。,26_0518.jpg,26_0518.mp3,26_0518_meaning.mp3,26_0518_example.mp3
standard,ˈstændərd,標準,A standard is what people consider normal or good.,「標準」是人們認為正常或良好的準則。,This older model TV is below our store’s standards.,這台舊型號電視不符合我們店的標準。,26_0519.jpg,26_0519.mp3,26_0519_meaning.mp3,26_0519_example.mp3
suggest,səˈdʒest,建議,To suggest something means to give an idea or plan about it.,「建議」是指提出想法或計畫。,He suggested that we go to see his boss.,他建議我們去見他的老闆。,26_0520.jpg,26_0520.mp3,26_0520_meaning.mp3,26_0520_example.mp3
actually,ˈæktʃuəli,實際上,Actually means in fact or really.,「實際上」是指事實上或真的。,"My dad looks a little mean, but actually he’s very kind.",我爸看起來有點兇，其實他很善良。,27_0521.jpg,27_0521.mp3,27_0521_meaning.mp3,27_0521_example.mp3
